Player,Position,NFLTeam,Bye,CBS ADP,CBS Rank,FFC ADP,Rank
Jayden Reed,WR,GB,11,123.75,110,95.1,107
KC Concepcion,WR,CLE,11,123.92,111,129.2,108
George Kittle,TE,SF,8,93.3,112,112.8,109
Jared Goff,QB,DET,6,116.33,113,107.0,110
Brock Purdy,QB,SF,8,102.8,114,83.6,111
Makai Lemon,WR,PHI,10,112.85,115,109.2,112
Tyrone Tracy Jr.,RB,NYG,8,124.15,116,152.7,113
Chris Rodriguez Jr.,RB,JAX,7,130.33,117,162.1,114
Xavier Worthy,WR,KC,5,124.9,118,106.9,115
Dallas Goedert,TE,PHI,10,85.67,119,113.1,116
Aaron Jones Sr.,RB,MIN,6,109.66,120,96.0,117
Matthew Stafford,QB,LAR,11,99.93,121,83.2,118
Matthew Golden,WR,GB,11,134.47,122,120.0,119
Zach Charbonnet,RB,SEA,11,126.16,123,140.3,120
Woody Marks,RB,HOU,8,138.8,124,150.5,121
Patrick Mahomes,QB,KC,5,104.66,125,99.0,122
Mark Andrews,TE,BAL,13,124.43,126,140.2,123
Denzel Boston,WR,CLE,11,149.73,127,150.5,124
Romeo Doubs,WR,NE,11,134.57,128,113.3,125
Jayden Higgins,WR,HOU,8,136.07,129,131.7,126
MarShawn Lloyd,RB,GB,11,158.53,130,156.1,127
Kyler Murray,QB,MIN,6,136.75,131,142.9,128
Tyjae Spears,RB,TEN,9,139.42,132,131.5,129
De'Zhaun Stribling,WR,SF,8,152.0,133,153.8,130
Bo Nix,QB,DEN,10,127.95,134,119.7,131
Jalen Nailor,WR,LV,13,147.66,135,156.0,132
Isiah Pacheco,RB,DET,6,136.08,136,151.1,133
Dalton Kincaid,TE,BUF,7,127.11,138,152.9,134
Alvin Kamara,RB,NO,8,133.76,139,140.2,135
Tre Tucker,WR,LV,13,152.67,140,133.6,136
Tyler Shough,QB,NO,8,145.81,141,136.9,137
Tyler Allgeier,RB,ARI,14,146.67,142,167.9,138
Khalil Shakir,WR,BUF,7,134.35,143,100.9,139
Malik Willis,QB,MIA,6,153.51,144,162.0,140
Dylan Sampson,RB,CLE,11,151.0,145,162.5,141
Jonah Coleman,RB,DEN,10,156.96,146,149.7,142
Bijan Robinson,RB,ATL,11,1.96,147,1.7,143
Tank Dell,WR,HOU,8,135.9,148,149.9,144
Keaton Mitchell,RB,LAC,7,148.09,149,158.0,145
Rashid Shaheed,WR,SEA,11,139.11,150,126.3,146
Caleb Douglas,WR,MIA,6,999.0,151,180.0,147
Tank Bigsby,RB,PHI,10,156.06,152,161.1,148
Jeremiyah Love,RB,ARI,14,30.69,153,27.6,149
Juwan Johnson,TE,NO,8,145.7,154,159.0,150
Mike Washington Jr.,RB,LV,13,171.0,155,148.8,151
Greg Dulcich,TE,MIA,6,159.35,156,172.1,152
Ray Davis,RB,BUF,7,999.0,157,160.0,153
Jake Ferguson,TE,DAL,14,123.06,158,137.2,154
Adonai Mitchell,WR,NYJ,13,999.0,159,159.9,155
Brenton Strange,TE,JAX,7,139.78,160,164.0,156
Chigoziem Okonkwo,UNK,UNK,999,153.8,161,999.0,157
Omar Cooper Jr.,WR,NYJ,13,158.07,162,163.1,158
Baker Mayfield,QB,TB,10,131.75,163,129.4,159
Antonio Williams,WR,WAS,7,166.5,164,161.5,160
Kimani Vidal,RB,LAC,7,999.0,165,156.9,161
Cyrus Allen,WR,KC,5,999.0,166,157.6,162
Hunter Henry,TE,NE,11,153.63,167,156.6,163
Jalen McMillan,WR,TB,10,156.7,168,149.2,164
Jaydon Blue,RB,DAL,14,999.0,169,149.3,165
Dalton Schultz,TE,HOU,8,164.87,170,155.7,166
Travis Hunter,WR,JAX,7,999.0,171,161.3,167
Zachariah Branch,WR,ATL,11,999.0,172,172.9,168
Jerry Jeudy,WR,CLE,11,151.48,173,134.3,169
Kaelon Black,RB,SF,8,157.75,174,154.1,170
Tre' Harris,WR,LAC,7,999.0,175,162.5,171
Kayshon Boutte,WR,NE,11,999.0,177,172.5,172
Pat Bryant,WR,DEN,10,999.0,178,147.1,173
Calvin Ridley,WR,TEN,9,165.6,179,135.1,174
Dontayvion Wicks,WR,PHI,10,999.0,180,174.8,175
Germie Bernard,WR,PIT,9,999.0,181,170.8,176
James Conner,RB,ARI,14,161.25,182,175.0,177
Jauan Jennings,WR,MIN,6,159.42,183,145.6,178
Ryan Flournoy,WR,DAL,14,999.0,186,169.9,179
Ja'Kobi Lane,WR,BAL,13,999.0,187,163.0,180
Oronde Gadsden II,UNK,UNK,7,158.08,190,999.0,181
AJ Barner,TE,SEA,11,175.11,192,163.2,182
Darnell Mooney,WR,NYG,8,999.0,195,185.4,183
Cooper Kupp,WR,SEA,11,162.0,197,158.5,184
Braelon Allen,RB,NYJ,13,160.57,198,154.0,185
Jacoby Brissett,QB,ARI,14,999.0,199,168.4,186
Jordan James,RB,SF,8,152.33,200,159.4,187
Jameson Williams,WR,DET,6,59.57,999,44.6,188
